link,long_title,short_title,authors,date_filed,subjects
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2130-19th-congress,"AN ACT DECLARING CAGAYAN DE ORO RIVER AND ITS IMMEDIATE ENVIRONS LOCATED IN CAGAYAN DE ORO CITY, PROVINCE OF MISAMIS ORIENTAL A CULTURAL HERITAGE ZONE",CAGAYAN DE ORO RIVER CULTURAL HERITAGE ZONE ACT,"LEGARDA, LOREN B.","April 5, 2023",CULTURAL HERITAGE; HERITAGE ZONE
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2194-19th-congress,N/A,NATIONAL MUSEUM OF FILIPINO WOMEN ACT,"LAPID, MANUEL ""LITO"" M.","May 15, 2023",MUSEUM; FILIPINO; WOMEN
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1950-19th-congress,N/A,AGUSAN DEL NORTE GENERAL HOSPITAL AND TRAINING CENTER,"MARCOS, IMEE R.","January 3, 2023","HOSPITALS, CONVERSION"
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1643-19th-congress,"AN ACT REGULATING THE REGISTRATION, LICENSURE, AND PRACTICE OF PHYSICAL THERAPY, AND APPROPRIATING FUNDS THEREFOR",PHILIPPINE PHYSICAL THERAPY LAW,"VILLAR, MARK A.; ESTRADA, JINGGOY E.","September 1, 2023",PHYSICAL THERAPY
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1960-19th-congress,N/A,POVERTY REDUCTION THROUGH SOCIAL ENTREPRENEURSHIP (PRESENT)  ACT,"REVILLA JR., RAMON BONG","June 3, 2023",POVERTY REDUCTION THROUGH SOCIAL ENTREPRENEURSHIP PROGRAM (PRESENT)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2026-19th-congress,N/A,ESTABLISHING A CENTER FOR AUTISM,"EJERCITO, JOSEPH VICTOR G.","March 21, 2023",AUTISM
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1780-19th-congress,N/A,"ECSCAST-LUPAO CAMPUS, PROVINCE OF IFUGAO","MARCOS, IMEE R.","January 25, 2023",STATE UNIVERSITIES AND COLLEGES (SUCS)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2098-19th-congress,N/A,DIGITAL LITERACY IN SCHOOLS ACT,"TULFO, RAFFY T.","April 26, 2023",DIGITAL LITERACY; CURRICULUM/CURRICULA; ELEMENTARY EDUCATION/PRIMARY EDUCATION; HIGH SCHOOL
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2162-19th-congress,"AN ACT MANDATING THE FULL REHABILITATION, UPGRADING, AND MAINTENANCE OF ROMAN SUPERHIGHWAY IN THE PROVINCE OF BATAAN","MANDATING THE FULL REHABILITATION, UPGRADING, & MAINTENANCE OF ROMAN SUPERHIGHWAY PROVINCE OF BATAAN","REVILLA JR., RAMON BONG","September 5, 2023","Department of Public Works and Highways (DPWH); ROAD MAINTENANCE; ROAD REPAIR, REHABILITATION, AND IMPROVEMENT"
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2109-19th-congress,N/A,AMENDING R.A. NO. 10361 (BATAS KASAMBAHAY),"GO, CHRISTOPHER LAWRENCE T.","March 5, 2023",BATAS KASAMBAHAY (R.A.NO. 10361); DOMESTIC WORKERS; PRIVATE EMPLOYMENT AGENCIES (PEA)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2173-19th-congress,N/A,REVISED WAREHOUSE RECEIPTS LAW OF THE PHILIPPINES,"ESTRADA, JINGGOY E.","October 5, 2023",WAREHOUSE RECEIPTS
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1930-19th-congress,N/A,INCLUSION OF ENTREPRENEURSHIP AS A SEPARATE SUBJECT IN THE JUNIOR AND SENIOR HIGH SCHOOL,"VILLAR, CYNTHIA A.","February 27, 2023",ENTREPRENEURSHIP; K12 EDUCATION PROGRAM; CURRICULUM/CURRICULA
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2248-19th-congress,N/A,UPGRADING THE APARRI PROVINCIAL HOSPITAL,"EJERCITO, JOSEPH VICTOR G.","May 25, 2023","HOSPITALS, UPGRADING; DEPARTMENT OF HEALTH (DOH)"
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2004-19th-congress,N/A,PASSIG ISLET AQUA-ECOTOURISM ACT,"MARCOS, IMEE R.","March 14, 2023",ECOLOGICAL TOURISM ZONE/ECOTOURISM SITE
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2067-19th-congress,"AN ACT INSTITUTIONALIZING THE AUTOMATIC INCOME CLASSIFICATION OF PROVINCES, CITIES, AND MUNICIPALITIES, AMENDING FOR THE PURPOSE SECTION 8 OF REPUBLIC ACT NO. 7160, OTHERWISE KNOWN AS THE LOCAL GOVERNMENT CODE OF 1991, AS AMENDED",AUTOMATIC INCOME CLASSIFICATION ACT FOR LOCAL GOVERNMENT UNITS,"GATCHALIAN, WIN","December 4, 2023",INCOME CLASSIFICATION; LOCAL GOVERNMENT UNITS (LGUs); LOCAL GOVERNMENT CODE (R.A.NO. 7160)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1760-19th-congress,N/A,PUBLIC CREMATORIUM ACT,"TULFO, RAFFY T.","January 25, 2023",CREMATORY/CREMATORIES; PUBLIC CREMATORIUM
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2388-19th-congress,"AN ACT DESIGNATING TWO (2) OF THE EIGHT (8) MEMBERS OF THE NATIONAL LABOR RELATIONS COMMISSION REPRESENTING THE WORKERS ORGANIZATIONS AS REPRESENTATIVES OF LAND-BASED AND SEA-BASED OVERSEAS FILIPINO WORKERS RESPECTIVELY, FURTHER AMENDING FOR THE PURPOSE ARTICLE 213 OF PRESIDENTIAL DECREE NO. 442, AS AMENDED, OTHERWISE KNOWN AS THE LABOR CODE OF THE PHILIPPINES",DESIGNATING TWO (2) MEMBERS OF THE NLRC AS REPRESENTATIVES OF LAND AND SEA-BASED OFWS,"LAPID, MANUEL ""LITO"" M.","July 8, 2023",NATIONAL LABOR RELATIONS COMMISSION (NLRC); OVERSEAS FILIPINO WORKERS (OFW); LABOR CODE OF THE PHILIPPINES (P.D.NO. 442)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1824-19th-congress,N/A,LAND VALUE CAPTURE ACT,"MARCOS, IMEE R.","January 31, 2023",LAND VALUE CAPTURE
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2141-19th-congress,AN ACT DECLARING AUGUST 9 OF EVERY YEAR AS THE PHILIPPINES-ISRAEL FRIENDSHIP DAY,PHILIPPINE-ISRAEL FRIENDSHIP DAY,"VILLANUEVA, JOEL","August 5, 2023",PHILIPPINE-ISRAEL FRIENDSHIP DAY
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1833-19th-congress,"AN ACT PROVIDING FOR A BILL OF RIGHTS FOR AIR PASSENGERS, PENALIZING VIOLATIONS THEREOF, AND FOR OTHER PURPOSES",AIR PASSENGER BILL OF RIGHTS ACT OF 2023,"REVILLA JR., RAMON BONG","February 2, 2023",AIRLINE PASSENGERS BILL OF RIGHTS
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1897-19th-congress,N/A,AMENDING R.A. NO. 6977 (MAGNA CARTA FOR SMALL ENTEPRISES),"REVILLA JR., RAMON BONG","February 16, 2023","MAGNA CARTA FOR SMALL ENTERPRISES; MAGNA CARTA FOR MICRO, SMALL AND MEDIUM-SCALE ENTERPRISES (R.A.NO. 6977)"
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1654-19th-congress,N/A,AMENDING R.A. NO. 9497 (CIVIL AVIATION AUTHORITY ACT OF 2008),"REVILLA JR., RAMON BONG","December 1, 2023",CIVIL AVIATION AUTHORITY OF THE PHILIPPINES
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1971-19th-congress,N/A,"REVISING AND STRENGTHENING THE DEFINITION OF THE CRIME OF RAPE, AMENDING AND REPEALING ACT NO. 3815","EJERCITO, JOSEPH VICTOR G.","July 3, 2023",rape; REVISED PENAL CODE (R.A.NO. 3815)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1727-19th-congress,N/A,INTEGRATING NATIONAL BUILDING CODE TO THE ENGINEERING AND ARCHITECTURE CURRICULUM,"VILLAR, MARK A.","January 23, 2023",NATIONAL BUILDING CODE OF THE PHILIPPINES; CURRICULUM/CURRICULA
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1984-19th-congress,"AN ACT SEPARATING THE JOSE ABAD SANTOS NATIONAL HIGH SCHOOL - TABAYON EXTENSION IN BARANGAY TABAYON, MUNICIPALITY OF JOSE ABAD SANTOS, PROVINCE OF DAVAO OCCIDENTAL FROM THE JOSE ABAD SANTOS NATIONAL HIGH SCHOOL, CONVERTING IT INTO AN INDEPENDENT NATIONAL HIGH SCHOOL TO BE KNOWN AS TABAYON NATIONAL HIGH SCHOOL AND APPROPRIATING FUNDS THEREFOR",TABAYON NATIONAL HIGH SCHOOL,"MARCOS, IMEE R.","August 3, 2023","SCHOOLS, CONVERSION"
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2120-19th-congress,N/A,ADVANCED STUDIES DEVELOPMENT PROGRAM FOR EXCEPTIONAL GOVERNMENT EMPLOYEES,"VILLAR, MARK A.","March 5, 2023",ADVANCED STUDIES DEVELOPMENT PROGRAM; GOVERNMENT EMPLOYEES
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2184-19th-congress,N/A,EXTENDING THE LIFE OF THE PHILIPPINE AEROSPACE DEVELOPMENT CORPORATION (PADC),"DELA ROSA, RONALD ""BATO""","May 15, 2023",PHILIPPINE AEROSPACE DEVELOPMENT CORPORATION (PADC)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1873-19th-congress,N/A,TRAFFIC LIGHT TIMER ACT,"TULFO, RAFFY T.","February 13, 2023",TRAFFIC LIGHTS
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2258-19th-congress,N/A,THE TEACHER MENTAL HEALTH AND WELLNESS ACT OF 2023,"VILLAR, MARK A.","May 29, 2023",TEACHERS; MENTAL HEALTH
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1696-19th-congress,N/A,"MAGNA CARTA FOR BARANGAY OFFICIALS, PERSONNEL AND VOLUNTEER WORKERS","TULFO, RAFFY T.","January 18, 2023",MAGNA CARTA FOR BARANGAY OFFICIALS
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1770-19th-congress,N/A,"BARANGAY IBAYONG, PROVINCE  OF IFUGAO","MARCOS, IMEE R.","January 25, 2023","BARANGAY, CREATION"
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2396-19th-congress,"AN ACT PROHIBITING DISCRIMINATION, MARGINALIZATION, AND VIOLENCE COMMITTED ON THE BASIS OF SEXUAL ORIENTATION OR GENDER IDENTITY OR EXPRESSION (SOGIE) AND PROVIDING PENALTIES THEREFOR",SOGIE-BASED ANTI-DISCRIMINATION ACT,"MARCOS, IMEE R.","August 8, 2023",SOGIESC EQUALITY; ANTI-DISCRIMINATION
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2152-19th-congress,"AN ACT PROVIDING FOR THE MODERNIZATION OF THE PHILIPPINE INSTITUTE OF VOLCANOLOGY AND SEISMOLOGY (PHIVOLCS), PROVIDING FUNDS THEREFOR AND FOR OTHER PURPOSES",PHIVOLCS MODERNIZATION ACT,"ESTRADA, JINGGOY E.","September 5, 2023",PHILIPPINE INSTITUTE OF  VOLCANOLOGY AND SEISMOLOGY (PHIVOLCS)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1844-19th-congress,N/A,SINGLE-USE PLASTIC BAGS TAX ACT,"TULFO, RAFFY T.","June 2, 2023",SINGLE-USE PLASTIC; TAXES (EXCISE TAX); NATIONAL INTERNAL REVENUE CODE (NIRC)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2227-19th-congress,N/A,MOUNT APO NATURAL PARK (MANP) WILDLIFE CONSERVATION AND RESCUE CENTER ACT,"VILLAR, CYNTHIA A.","May 23, 2023",PROTECTED AREA/PROTECTED LANDSCAPE; WILDLIFE RESOURCES CONSERVATION AND PROTECTION
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1664-19th-congress,N/A,PENALIZING PERSONS WHO SHALL COMMIT PROHIBITED ACTS DURING A STATE OF PUBLIC HEALTH EMERGENCY,"MARCOS, IMEE R.","December 1, 2023",STATE OF PUBLIC HEALTH EMERGENCY; PANDEMIC
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2292-19th-congress,"AN ACT TO MANDATE ALL COLLEGE INSTITUTIONS TO RECOGNIZE AND GIVE HONORS TO STUDENTS THAT ATTAINED THE REQUIRED GRADE, AND DISALLOWING THE DISQUALIFICATION THEREOF ON THE GROUND OF FAILURE TO OBTAIN THE NECESSARY GRADE FOR A SPECIFIC SUBJECT, PROVIDING FOR A RETROACTIVE EFFECT",RECOGNITION OF HONORS ACHIEVEMENT ACT,"VILLAR, MARK A.","April 7, 2023",RECOGNITION OF HONORS; GRADUATING STUDENTS; SCHOOLS (PUBLIC AND PRIVATE); ACADEMIC EXCELLENCE
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1855-19th-congress,AN ACT PROHIBITING GAME-FIXING AND PROVIDING PENALTIES FOR VIOLATIONS THEREFOR,ANTI GAME-FIXING ACT,"VILLAR, MARK A.","September 2, 2023",GAME-FIXING
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1919-19th-congress,N/A,CHARTER OF THE CITY OF MALAY,"MARCOS, IMEE R.","February 22, 2023","MUNICIPALITY, CONVERSION (CITYHOOD)"
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2237-19th-congress,N/A,"CONVERSION OF SAN SIMON ROAD, DALANDANAN, IN THE CITY OF VALENZUELA, INTO A NATIONAL ROAD","MARCOS, IMEE R.","May 24, 2023","ROADS, CONVERSION"
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1675-19th-congress,"AN ACT ENHANCING ACCESSIBILITY IN THE VOTING OF SENIOR CITIZENS, PERSONS WITH DISABILITIES, PREGNANT WOMEN, AND INDIGENOUS PEOPLES, AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 10366, OTHERWISE KNOWN AS AN ACT AUTHORIZING THE COMMISSION ON ELECTIONS TO ESTABLISH PRECINTS ASSIGNED TO ACCESSIBLE POLLING PLACES EXCLUSIVELY FOR PERSONS WITH DISABILITIES AND SENIOR CITIZENS, PROVIDING FUNDS THEREFOR, AND FOR OTHER PURPOSES","BETTER VOTING ACCESSIBILITY FOR SENIOR, PWDS, PREGNANT WOMEN, AND IPS ACT","VILLAR, MARK A.","December 1, 2023",SENIOR CITIZEN/ELDERLY; PERSONS WITH DISABILITIES (PWDS); INDIGENOUS PEOPLE; COMMISSION ON ELECTION (COMELEC)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2303-19th-congress,AN ACT PROVIDING MANDATORY INSURANCE COVERAGE AND OTHER BENEFITS FOR ALL LINE WORKERS,LINE WORKERS INSURANCE AND BENEFITS ACT,"ESCUDERO, FRANCIS G.","December 7, 2023",ELECTRICAL  LINE WORKERS/LINEMEN; INSURANCE; BENEFITS AND INCENTIVES
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2057-19th-congress,N/A,"DECLARING BARANGAY KAPATAGAN IN THE CITY OF DIGOS, DAVAO DEL SUR, AN ECOTOURISM SITE","TULFO, RAFFY T.","November 4, 2023",ECOTOURISM SITES
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2377-19th-congress,"N ACT ESTABLISHING A FRAMEWORK FOR BLUE ECONOMY, PROMOTING STEWARDSHIP AND SUSTAINABLE DEVELOPMENT OF COASTAL AND MARINE ECOSYSTEMS AND RESOURCES",BLUE ECONOMY ACT,"ESTRADA, JINGGOY E.","January 8, 2023",COASTAL AND MARINE ECOSYSTEM; BLUE ECONOMY
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1814-19th-congress,N/A,MAHARLIKA INVESTMENT FUND ACT,"TULFO, RAFFY T.","January 31, 2023",MAHARLIKA INVESTMENT FUND
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2143-19th-congress,"AN ACT ESTABLISHING EVACUATION CENTERS IN EVERY CITY AND MUNICIPALITY, AND APPROPRIATING FUNDS THEREFOR",EVACUATION CENTERS ACT,"LEGARDA, LOREN B.; ESTRADA, JINGGOY E.","September 5, 2023",EVACUATION CENTER
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1835-19th-congress,"AN ACT DECLARING AUGUST 11 OF EVERY YEAR A SPECIAL NON-WORKING HOLIDAY IN THE PROVINCE OF SAMAR TO BE KNOWN AS SAMAR DAY, IN COMMEMORATION OF ITS FOUNDATION DAY",ADLAW HAN SAMAR ACT,"LAPID, MANUEL ""LITO"" M.","June 2, 2023",HOLIDAYS (SPECIAL NON-WORKING)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1899-19th-congress,N/A,PROVINCE OF BENGUET AS THE STRAWBERRY CAPITAL OF THE PHILIPPINES,"MARCOS, IMEE R.","February 20, 2023",STRAWBERRY
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2217-19th-congress,N/A,AMENDING SECTIONS 27 AND 28 OF R.A. NO. 9165  (COMPREHENSIVE DANGEROUS DRUGS ACT),"PADILLA, ROBINHOOD C.","May 18, 2023",COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 (R.A.NO. 9165); Death penalty; ARMED FORCES OF THE PHILIPPINES (AFP); PHILIPPINE NATIONAL POLICE (PNP); LAW ENFORCEMENT OFFICERS/LAW ENFORCEMENT AGENCY/LAW ENFORCEMENT OPERATIONS
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1656-19th-congress,"AN ACT TO DESIGNATE SEPTEMBER AS PHILIPPINE FILM INDUSTRY MONTH AND MANDATE THE FILM DEVELOPMENT COUNCIL OF THE PHILIPPINES TO CONDUCT EVENTS ON VARIOUS FILM-RELATED DISCIPLINES DURING ITS CELEBRATION, TO APPROPRIATE FUNDS THEREFOR, AND FOR OTHER PURPOSES",PHILIPPINE FILM INDUSTRY MONTH OF 2022,"REVILLA JR., RAMON BONG","December 1, 2023",PHILIPPINE FILM INDUSTRY
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1973-19th-congress,N/A,EMERGENCY MEDICAL SERVICES SYSTEM (EMSS) ACT,"EJERCITO, JOSEPH VICTOR G.","July 3, 2023",EMERGENCY MEDICAL SERVICES SYSTEM (EMSS)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1793-19th-congress,N/A,FREE PROFESSIONAL EXAMINATION ACT OF 2023,"REVILLA JR., RAMON BONG","January 30, 2023",INDIGENOUS PEOPLE; PROFESSIONAL LICENSURE EXAMINATIONS
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2111-19th-congress,AN ACT DEFINING THE SCOPE AND EXTENT OF THE FISCAL AUTONOMY OF THE JUDICIAL BRANCH OF GOVERNMENT AND FOR OTHER PURPOSES,THE FISCAL AUTONOMY ACT OF JUDICIAL BRANCH OF GOVERNMENT,"GO, CHRISTOPHER LAWRENCE T.","March 5, 2023",FISCAL AUTONOMY; JUDICIARY
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2175-19th-congress,"AN ACT ESTABLISHING A TECHNICAL EDUCATION AND SKILLS DEVELOPMENT AUTHORITY (TESDA) TRAINING AND ASSESSMENT CENTER IN THE CITY OF MAASIN, PROVINCE OF SOUTHERN LEYTE, TO BE KNOWN AS THE MAASIN CITY TESDA TRAINING AND ASSESSMENT CENTER, AND APPROPRIATING FUNDS THEREFOR",MAASIN CITY TESDA TRAINING AND ASSESSMENT CENTER ACT,"TULFO, RAFFY T.","October 5, 2023",TECHNICAL EDUCATION AND SKILLS DEVELOPMENT AUTHORITY (TESDA); TESDA TRAINING AND ASSESSMENT CENTER
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1634-19th-congress,"AN ACT PROVIDING FOR A MORE RESPONSIVE AND COMPREHENSIVE REGULATION FOR THE LICENSING, REGISTRATION, CERTIFICATION AND PRACTICE OF ENVIRONMENTAL AND SANITARY ENGINEERS, ENVIRONMENTAL AND SANITARY ENGINEERING TECHNOLOGISTS AND ENVIRONMENTAL AND SANITARY ENGINEERING TECHNICIANS IN THE PHILIPPINES, FOR THE PURPOSE OF AMENDING REPUBLIC ACT 1364, AND FOR OTHER PURPOSES",ENVIRONMENTAL AND SANITARY ENGINEERING ACT,"EJERCITO, JOSEPH VICTOR G.","April 1, 2023",ENVIRONMENTAL AND SANITARY ENGINEERING
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2262-19th-congress,N/A,CONVERTING THE CIRCUMFERENTIAL ROAD OF 9 ISLAND BARANGAYS OF SURIGAO DEL NORTE INTO A NATIONAL ROAD,"MARCOS, IMEE R.","May 29, 2023","ROADS, CIRCUMFERENTIAL ROAD CONSTRUCTION; ROADS, CONVERSION"
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1698-19th-congress,N/A,BICYCLE ACT OF 2023,"TULFO, RAFFY T.","January 18, 2023",BICYCLE
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1772-19th-congress,N/A,DINAGAT PROVINCIAL TESDA TRAINING AND ASSESSMENT CENTER ACT,"MARCOS, IMEE R.","January 25, 2023",TECHNICAL EDUCATION AND SKILLS DEVELOPMENT AUTHORITY (TESDA)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2398-19th-congress,"AN ACT FURTHER AMENDING SECTION 32 OF REPUBLIC ACT NO. 8424, OTHERWISE KNOWN AS THE NATIONAL INTERNAL REVENUE CODE OF 1997, AS AMENDED, AND FOR OTHER PURPOSES",AMENDING SEC. 32 OF R.A. NO. 8434 (NATIONAL INTERNAL REVENUE CODE),"GATCHALIAN, WIN","September 8, 2023",Public school teachers; BENEFITS AND INCENTIVES; NATIONAL INTERNAL REVENUE CODE (NIRC); ELECTIONS
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2154-19th-congress,N/A,DECLARING THE IMMEDIATE ENVIRONS OF SAINT MARY MAGDALENE PARISH CHURCH A TOURISM DESTINATION,"REVILLA JR., RAMON BONG","September 5, 2023",TOURISM DESTINATION; CHURCHES
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1846-19th-congress,"AN ACT PROTECTING CONSUMERS AND MERCHANTS ENGAGED IN INTERNET TRANSACTIONS, CREATING FOR THIS PURPOSE THE ELECTRONIC COMMERCE BUREAU, APPROPRIATING FUNDS THEREFOR, AND FOR OTHER PURPOSES",INTERNET TRANSACTIONS ACT OF 2023,"MARCOS, IMEE R.; GATCHALIAN, WIN; VILLAR, MARK A.; VILLANUEVA, JOEL; LEGARDA, LOREN B.; VILLAR, CYNTHIA A.; ESTRADA, JINGGOY E.; PADILLA, ROBINHOOD C.; REVILLA JR., RAMON BONG; GO, CHRISTOPHER LAWRENCE T.; ZUBIRI, JUAN MIGUEL ""MIGZ"" F.","June 2, 2023",INTERNET TRANSACTIONS; E-COMMERCE BUREAU
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1910-19th-congress,N/A,BARANGAY SKILLED WORKERS REGISTRY ACT,"VILLAR, MARK A.","February 21, 2023",BARANGAY SKILLED WORKERS
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1666-19th-congress,"AN ACT STRENGTHENING THE PHILIPPINE CROP INSURANCE CORPORATION (PCIC), REPEALING FOR THE PURPOSE PRESIDENTIAL DECREE NO. 1467, ENTITLED CREATING THE 'PHILIPPINE CROP INSURANCE CORPORATION PRESCRIBING ITS POWERS AND ACTIVITIES, PROVIDING FOR ITS CAPITALIZATION AND FOR THE REQUIRED GOVERNMENT PREMIUM SUBSIDY, AND FOR OTHER PURPOSES, AS AMENDED BY PRESIDENTIAL DECREE NO. 1733 AND REPUBLIC ACT NO. 8175",REVISED CHARTER OF THE PHILIPPINE CROP INSURANCE CORPORATION,"MARCOS, IMEE R.","December 1, 2023",PHILIPPINE CROP INSURANCE CORPORATION
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2294-19th-congress,AN ACT DECLARING THE MARITIME ZONES UNDER THE JURISDICTION OF THE REPUBLIC OF THE PHILIPPINES,PHILIPPINE MARITIME ZONES ACT,"VILLANUEVA, JOEL; TOLENTINO, FRANCIS ""TOL"" N.","December 7, 2023",MARITIME ZONE; ARCHIPELAGIC BASELINES OF THE PHILIPPINES
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1980-19th-congress,N/A,GENDER RESPONSIVE AND INCLUSIVE EMERGENCY MANAGEMENT ACT OF 2023,"HONTIVEROS, RISA","July 3, 2023",GENDER RESPONSIVE AND INCLUSIVE PANDEMIC AND DISASTER MANAGEMENT
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2048-19th-congress,N/A,FILM AND LIVE EVENTS RECOVERY ACT,"PADILLA, ROBINHOOD C.","March 29, 2023",FILM/MOVIE INDUSTRY; MUSIC INDUSTRY; LOCAL GOVERNMENT CODE (R.A.NO. 7160)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1741-19th-congress,N/A,"MAYOYAO, FUGAO PROVINCE TESDA TRAINING AND ASSESSMENT CENTER ACT","MARCOS, IMEE R.","January 23, 2023",TESDA TRAINING AND ASSESSMENT CENTER
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2122-19th-congress,N/A,WASTE WORKERS' HEALTH AND WELFARE ACT OF 2023,"VILLAR, MARK A.","March 5, 2023",WORKERS HEALTH AND WELLNESS; WASTE (SEWAGE SLUDGE/INDUSTRIAL WASTE)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2186-19th-congress,N/A,"FRESH GRADUATES PHP 5,000 ONE-TIME CASH GRANT ACT OF 2023","VILLAR, CYNTHIA A.","May 15, 2023",FIRST TIME JOBSEEKERS; CASH ASSISTANCE; FRESH GRADUATES INCENTIVES; TERTIARY EDUCATION
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1874-19th-congress,N/A,"AMENDING SEC. 13, ART. XVI OF R. A. NO. 11054 (ORGANIC LAW FOR THE BARMM)","TULFO, RAFFY T.","February 13, 2023",BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO
